Vuosi	Paaluokka/Osasto	Luku	Momentti	Alkup.talousarvio	Lisätalousarvio	Voimassaoleva talousarvio	Käytettävissä	Nettokertymä ko.vuodelta	Nettokertymä	Jäljellä	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.01. Sisäasiainministeriön toimintamenot	21774000	0	21774000	21774000	21774000	21774000	0	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.03. Hallinnon tietotekniikkakeskuksen toimintamenot	21000	0	21000	21000	21000	21000	0	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.04. Vähemmistövaltuutetun ja syrjintälautakunnan toimintamenot	1012000	0	1012000	1012000	1012000	1012000	0	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.20. Tietohallinnon yhteiset menot	12890000	0	12890000	12890000	12890000	12890000	0	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.22. EU:n osuus yhteisvastuun ja maahanmuuttovirtojen hallintaan	21500000	0	21500000	21500000	21500000	21500000	0	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.23. Siviilikriisinhallinnan kotimaan valmiudet	1439000	0	1439000	1439000	1439000	1439000	0	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.24. EU:n osuus sisäisen turvallisuuden ja maahanmuuton hallintaan	10480000	0	10480000	10480000	10480000	10480000	0	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.29. Sisäasiainministeriön hallinnonalan arvonlisäveromenot	66240000	0	66240000	66240000	69715872	33	69715872	33	-3475872	33	
2014	26. Sisäministeriön hallinnonala	26.01. Hallinto	26.01.66. Kansainvälisten järjestöjen jäsenmaksut ja maksuosuudet ulkomaille	1017000	0	1017000	1017000	757013	19	757013	19	259986	81	
2014	26. Sisäministeriön hallinnonala	26.10. Poliisitoimi	26.10.01. Poliisitoimen toimintamenot	729035000	2387000	731422000	731422000	731422000	731422000	0	
2014	26. Sisäministeriön hallinnonala	26.10. Poliisitoimi	26.10.20. Maasta poistamis- ja noutokuljetuksista aiheutuvat menot	3500000	0	3500000	3500000	3618815	49	3618815	49	-118815	49	
2014	26. Sisäministeriön hallinnonala	26.10. Poliisitoimi	26.10.21. KEJO-hankkeen yhteiset toimintamenot	7000000	0	7000000	7000000	7000000	7000000	0	
2014	26. Sisäministeriön hallinnonala	26.20. Rajavartiolaitos	26.20.01. Rajavartiolaitoksen toimintamenot	229939000	0	229939000	229939000	229939000	229939000	0	
2014	26. Sisäministeriön hallinnonala	26.20. Rajavartiolaitos	26.20.70. Ilma- ja vartioalusten hankinta	0	750000	750000	750000	750000	750000	0	
2014	26. Sisäministeriön hallinnonala	26.30. Pelastustoimi ja hätäkeskustoiminta	26.30.01. Pelastustoimen toimintamenot	16362000	0	16362000	16362000	16362000	16362000	0	
2014	26. Sisäministeriön hallinnonala	26.30. Pelastustoimi ja hätäkeskustoiminta	26.30.02. Hätäkeskuslaitoksen toimintamenot	65326000	4831000	70157000	70157000	70157000	70157000	0	
2014	26. Sisäministeriön hallinnonala	26.30. Pelastustoimi ja hätäkeskustoiminta	26.30.20. Erityismenot	3406000	0	3406000	3406000	1950748	66	1950748	66	1455251	34	
2014	26. Sisäministeriön hallinnonala	26.30. Pelastustoimi ja hätäkeskustoiminta	26.30.43. Turvallisuusviranomaisten viestintäverkot	8100000	0	8100000	8100000	8100000	8100000	0	
2014	26. Sisäministeriön hallinnonala	26.40. Maahanmuutto	26.40.01. Maahanmuuttoviraston ja valtion vastaanottokeskusten toimintamenot	26609000	200000	26809000	26809000	26809000	26809000	0	
2014	26. Sisäministeriön hallinnonala	26.40. Maahanmuutto	26.40.20. Paluumuuttajien muuttovalmennus	876000	0	876000	876000	566720	35	566720	35	309279	65	
2014	26. Sisäministeriön hallinnonala	26.40. Maahanmuutto	26.40.21. Pakolaisten ja turvapaikanhakijoiden vastaanotto	30657000	8511000	39168000	39168000	43984404	04	43984404	04	-4816404	4	
2014	26. Sisäministeriön hallinnonala	26.40. Maahanmuutto	26.40.63. Vastaanottotoiminnan asiakkaille maksettavat tuet	10017000	0	10017000	10017000	9917929	62	9917929	62	99070	38	
2014	27. Puolustusministeriön hallinnonala	27.01. Puolustuspolitiikka ja hallinto	27.01.01. Puolustusministeriön toimintamenot	20183000	0	20183000	20183000	20183000	20183000	0	
2014	27. Puolustusministeriön hallinnonala	27.01. Puolustuspolitiikka ja hallinto	27.01.21. Puolustusministeriön hallinnonalan tuottavuusmääräraha	2315000	0	2315000	2315000	2315000	2315000	0	
2014	27. Puolustusministeriön hallinnonala	27.01. Puolustuspolitiikka ja hallinto	27.01.29. Puolustusministeriön hallinnonalan arvonlisäveromenot	337676000	0	337676000	337676000	298114921	4	298114921	4	39561078	6	
2014	27. Puolustusministeriön hallinnonala	27.10. Sotilaallinen maanpuolustus	27.10.01. Puolustusvoimien toimintamenot	1857426000	5833000	1863259000	1863259000	1863259000	1863259000	0	
2014	27. Puolustusministeriön hallinnonala	27.10. Sotilaallinen maanpuolustus	27.10.18. Puolustusmateriaalihankinnat	470357000	-42796000	427561000	427561000	427561000	427561000	0	
2014	27. Puolustusministeriön hallinnonala	27.10. Sotilaallinen maanpuolustus	27.10.50. Maanpuolustusjärjestöjen toiminnan tukeminen	2078000	0	2078000	2078000	2078000	2078000	0	
2014	27. Puolustusministeriön hallinnonala	27.30. Sotilaallinen kriisinhallinta	27.30.20. Sotilaallisen kriisinhallinnan kalusto- ja hallintomenot	60066000	-2800000	57266000	57266000	57266000	57266000	0	
2014	27. Puolustusministeriön hallinnonala	27.30. Sotilaallinen kriisinhallinta	27.30.95. Kurssivaihtelut	10000	0	10000	10000	5950	07	5950	07	4049	93	
2014	28. Valtiovarainministeriön hallinnonala	28.01. Hallinto	28.01.01. Valtiovarainministeriön toimintamenot	39971000	0	39971000	39971000	39971000	39971000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.01. Hallinto	28.01.13. Julkisen hallinnon yhteisten tietojärjestelmien ja -palvelujen käyttöönottojen tuki	3031000	0	3031000	3031000	3031000	3031000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.01. Hallinto	28.01.20. Valtion kiinteistöstrategian toteuttaminen ja hallinnonalan omistajaohjaus	415000	0	415000	415000	415000	415000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.01. Hallinto	28.01.21. Valtiovarainministeriön hallinnonalan tuottavuusmääräraha	30000	0	30000	30000	30000	30000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.01. Hallinto	28.01.29. Valtiovarainministeriön hallinnonalan arvonlisäveromenot	79144000	0	79144000	79144000	83835204	87	83835204	87	-4691204	87	
2014	28. Valtiovarainministeriön hallinnonala	28.01. Hallinto	28.01.69. Suomen Pankin eräiden sijoitustuottojen siirto Kreikan valtiolle	35000000	0	35000000	35000000	35000000	35000000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.01. Hallinto	28.01.89. Suomen Erillisverkot Oy:n pääomittaminen	5000000	0	5000000	5000000	5000000	5000000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.10. Verotus ja tullitoimi	28.10.01. Verohallinnon toimintamenot	431903000	31220000	463123000	463123000	463123000	463123000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.10. Verotus ja tullitoimi	28.10.02. Tullin toimintamenot	166359000	0	166359000	166359000	166359000	166359000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.10. Verotus ja tullitoimi	28.10.63. Takaisin maksetut verot	3200000	3700000	6900000	6900000	4603048	76	4603048	76	2296951	24	
2014	28. Valtiovarainministeriön hallinnonala	28.10. Verotus ja tullitoimi	28.10.95. Verotukseen liittyvät korkomenot	22700000	0	22700000	22700000	12487985	1	12487985	1	10212014	9	
2014	28. Valtiovarainministeriön hallinnonala	28.10. Verotus ja tullitoimi	28.10.97. Autoveron vientipalautus	3000000	0	3000000	3000000	1768257	11	1768257	11	1231742	89	
2014	28. Valtiovarainministeriön hallinnonala	28.20. Palvelut valtioyhteisölle	28.20.01. Valtiokonttorin toimintamenot	30617000	620000	31237000	31237000	31237000	31237000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.20. Palvelut valtioyhteisölle	28.20.02. Keskitettyjen valuuttatilien kurssierot	1000	0	1000	1000	18004	54	18004	54	-17004	54	
2014	28. Valtiovarainministeriön hallinnonala	28.20. Palvelut valtioyhteisölle	28.20.03. Valtiovarain controller -toiminnon toimintamenot	891000	0	891000	891000	891000	891000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.20. Palvelut valtioyhteisölle	28.20.06. Sähköisen asioinnin ja hallinnon yhteiset palvelut	2454000	1964000	4418000	4418000	4417999	87	4417999	87	0	13	
2014	28. Valtiovarainministeriön hallinnonala	28.20. Palvelut valtioyhteisölle	28.20.07. Valtion talous- ja henkilöstöhallinnon palvelukeskuksen toimintamenot	2000000	0	2000000	2000000	1779256	59	1779256	59	220743	41	
2014	28. Valtiovarainministeriön hallinnonala	28.20. Palvelut valtioyhteisölle	28.20.08. Valtion talous- ja henkilöstöhallinnon palvelukeskuksen kehittäminen	2228000	970000	3198000	3198000	3198000	3198000	0	
